Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa),Napon (V),Brzina vjetra (m/s)
13:48:16,47.2,25.9,1004.35,,,,0.42,0.4
13:53:16,47.4,26.0,1004.33,,,,0.38,0.0
13:58:16,47.5,26.2,1004.25,,,,0.38,0.0
14:03:17,46.5,26.4,1004.11,,,,0.38,0.0
14:08:17,47.2,26.4,1004.19,,,,0.38,0.0
14:13:17,46.8,26.3,1004.19,,,,0.39,0.0
14:18:17,47.8,25.9,1004.1,,,,0.44,0.79
14:23:17,48.1,25.6,1004.13,,,,0.38,0.0
14:28:18,49.2,25.8,1004.13,,,,0.42,0.3
14:33:18,49.9,25.9,1004.11,47.76,26.04,1004.19,0.37,0.0
14:38:18,49.9,25.8,1004.11,,,,0.39,0.0
14:43:18,51.2,25.7,1004.11,,,,0.43,0.69
14:48:19,50.1,25.8,1004.11,48.67,25.96,1004.13,0.42,0.3
14:53:19,50.9,25.8,1004.09,,,,0.37,0.0
14:58:19,50.5,25.7,1004.09,,,,0.42,0.3
15:03:19,50.6,25.7,1003.99,,,,0.38,0.0
15:08:20,50.2,25.7,1003.89,50.06,25.75,1004.1,0.37,0.0
15:13:20,49.1,25.8,1003.94,,,,0.38,0.0
15:18:20,48.7,25.9,1003.94,,,,0.37,0.0
15:23:20,48.9,25.9,1003.95,50.01,25.78,1004.02,0.37,0.0
15:28:21,50.9,25.7,1003.91,,,,0.43,0.59
15:33:21,49.4,25.7,1003.94,,,,0.41,0.2
15:38:21,48.6,25.5,1003.93,49.78,25.74,1003.97,0.4,0.01
15:43:21,51.3,25.5,1003.91,,,,0.35,0.0
15:48:22,55.7,25.5,1003.9,,,,0.4,0.0
15:53:22,55.0,25.4,1003.88,,,,0.35,0.0
15:58:22,55.5,25.5,1003.9,51.31,25.64,1003.92,0.38,0.0
16:03:22,58.2,25.6,1003.87,,,,0.42,0.4
16:08:22,54.2,25.6,1003.86,,,,0.37,0.0
16:13:23,54.9,25.3,1003.85,53.37,25.53,1003.89,0.4,0.0
16:18:23,57.3,25.2,1003.78,,,,0.41,0.11
16:23:23,57.3,25.1,1003.72,,,,0.38,0.0
16:28:23,57.7,25.2,1003.7,55.71,25.39,1003.84,0.37,0.0
16:33:24,58.1,25.2,1003.64,,,,0.4,0.01
16:38:24,59.4,25.2,1003.55,,,,0.4,0.0
16:43:24,61.0,25.3,1003.53,,,,0.39,0.0
16:48:24,58.0,25.3,1003.46,57.61,25.3,1003.74,0.38,0.0
16:53:25,56.4,25.3,1003.45,,,,0.38,0.0
16:58:25,56.6,25.3,1003.49,,,,0.35,0.0
17:03:25,55.8,25.3,1003.49,57.76,25.24,1003.58,0.36,0.0
17:08:25,57.5,25.2,1003.46,,,,0.38,0.0
17:13:26,59.1,25.2,1003.56,,,,0.37,0.0
17:18:26,59.5,25.3,1003.52,58.14,25.26,1003.51,0.38,0.0
17:23:26,58.1,25.3,1003.56,,,,0.39,0.0
17:28:26,59.1,25.4,1003.53,,,,0.38,0.0
17:33:27,59.2,25.6,1003.46,,,,0.4,0.0
17:38:27,58.0,25.5,1003.44,57.93,25.34,1003.5,0.38,0.0
17:43:27,58.1,25.5,1003.37,,,,0.37,0.0
