Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa),Napon (V),Brzina vjetra (m/s)
21:39:19,86.0,13.6,1009.42,,,,0.37,0.0
21:44:19,86.5,13.6,1009.34,,,,0.37,0.0
21:49:20,85.8,13.5,1009.34,,,,0.37,0.0
21:54:20,86.8,13.6,1009.36,,,,0.38,0.0
21:59:20,87.0,13.6,1009.33,,,,0.38,0.0
22:04:20,87.6,13.5,1009.33,,,,0.38,0.0
22:09:20,87.9,13.5,1009.4,,,,0.35,0.0
22:14:21,87.9,13.5,1009.34,,,,0.38,0.0
22:19:21,87.7,13.4,1009.39,,,,0.39,0.0
22:24:21,88.3,13.4,1009.31,87.15,13.52,1009.36,0.38,0.0
22:29:21,86.8,13.5,1009.36,,,,0.39,0.0
22:34:21,88.9,13.4,1009.37,,,,0.37,0.0
22:39:22,88.5,13.4,1009.25,87.74,13.48,1009.34,0.36,0.0
22:44:22,87.6,13.3,1009.22,,,,0.37,0.0
22:49:22,89.7,13.3,1009.11,,,,0.39,0.0
22:54:22,87.6,13.4,1009.09,,,,0.37,0.0
22:59:22,81.9,13.5,1009.07,87.49,13.41,1009.28,0.39,0.0
23:04:23,84.8,13.5,1009.04,,,,0.37,0.0
23:09:23,86.6,13.4,1009.03,,,,0.39,0.0
23:14:23,88.0,13.3,1009.0,87.04,13.4,1009.15,0.38,0.0
23:19:23,90.0,13.2,1009.1,,,,0.38,0.0
23:24:23,89.9,13.3,1009.03,,,,0.39,0.0
23:29:24,87.8,13.2,1009.06,87.39,13.34,1009.08,0.37,0.0
23:34:24,85.6,13.3,1009.04,,,,0.38,0.0
23:39:24,84.2,13.5,1008.92,,,,0.38,0.0
23:44:24,83.5,13.5,1008.75,,,,0.38,0.0
23:49:24,83.9,13.5,1008.73,86.43,13.37,1009.0,0.38,0.0
23:54:25,78.4,13.8,1008.74,,,,0.39,0.0
23:59:25,79.2,13.6,1008.7,,,,0.37,0.0
00:04:25,79.0,13.8,1008.69,84.15,13.47,1008.88,0.39,0.0
00:09:25,75.2,13.9,1008.7,,,,0.37,0.0
00:14:25,79.1,14.0,1008.85,,,,0.37,0.0
00:19:26,83.6,13.8,1008.96,81.17,13.67,1008.81,0.36,0.0
00:24:26,84.4,13.7,1008.85,,,,0.36,0.0
00:29:26,85.5,13.5,1008.98,,,,0.37,0.0
00:34:26,85.0,13.7,1008.88,,,,0.37,0.0
00:39:26,88.0,13.3,1008.91,81.74,13.71,1008.81,0.37,0.0
00:44:27,89.0,13.2,1008.84,,,,0.38,0.0
00:49:27,89.1,13.1,1008.79,,,,0.37,0.0
00:54:27,89.6,13.1,1008.68,84.85,13.53,1008.84,0.38,0.0
00:59:27,87.4,13.4,1008.62,,,,0.39,0.0
01:04:27,90.0,13.3,1008.66,,,,0.38,0.0
01:09:27,90.3,13.2,1008.69,87.83,13.35,1008.79,0.37,0.0
01:14:28,90.3,13.2,1008.87,,,,0.37,0.0
01:19:28,90.3,13.3,1008.9,,,,0.38,0.0
01:24:28,89.8,13.3,1008.77,,,,0.38,0.0
01:29:28,88.2,13.3,1008.75,89.4,13.24,1008.77,0.38,0.0
01:34:28,89.8,13.2,1008.74,,,,0.39,0.0
01:39:29,90.4,13.2,1008.6,,,,0.38,0.0
01:44:29,90.3,13.3,1008.61,89.68,13.27,1008.72,0.36,0.0
01:49:29,90.2,13.2,1008.64,,,,0.38,0.0
01:54:29,90.5,13.3,1008.65,,,,0.38,0.0
01:59:29,90.6,13.2,1008.55,90.04,13.25,1008.71,0.36,0.0
02:04:30,90.5,13.3,1008.45,,,,0.39,0.0
02:09:30,90.5,13.4,1008.35,,,,0.38,0.0
02:14:30,90.3,13.3,1008.2,,,,0.4,0.01
02:19:30,90.6,13.4,1008.31,90.37,13.28,1008.55,0.37,0.0
02:24:30,88.8,13.5,1008.38,,,,0.37,0.0
02:29:31,90.1,13.4,1008.3,,,,0.38,0.0
02:34:31,91.0,13.4,1008.39,90.31,13.34,1008.42,0.38,0.0
02:39:31,90.0,13.6,1008.46,,,,0.37,0.0
02:44:31,88.9,13.6,1008.44,,,,0.39,0.0
02:49:31,89.8,13.6,1008.38,90.05,13.45,1008.37,0.4,0.0
02:54:32,89.2,13.5,1008.24,,,,0.34,0.0
02:59:32,89.4,13.5,1008.27,,,,0.38,0.0
03:04:32,90.4,13.5,1008.25,,,,0.36,0.0
03:09:32,90.5,13.3,1008.17,89.81,13.49,1008.34,0.36,0.0
03:14:32,90.6,13.4,1008.21,,,,0.36,0.0
03:19:33,90.3,13.5,1008.18,,,,0.38,0.0
03:24:33,90.2,13.5,1008.17,89.93,13.5,1008.28,0.37,0.0
03:29:33,91.0,13.5,1008.02,,,,0.38,0.0
03:34:33,91.3,13.4,1007.98,,,,0.35,0.0
03:39:33,91.4,13.4,1008.0,90.43,13.45,1008.15,0.38,0.0
03:44:34,90.9,13.4,1008.13,,,,0.39,0.0
03:49:34,90.8,13.5,1008.2,,,,0.37,0.0
