Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa),Napon (V),Brzina vjetra (m/s)
21:39:19,86.0,13.6,1009.42,,,,0.37,0.0
21:44:19,86.5,13.6,1009.34,,,,0.37,0.0
21:49:20,85.8,13.5,1009.34,,,,0.37,0.0
21:54:20,86.8,13.6,1009.36,,,,0.38,0.0
21:59:20,87.0,13.6,1009.33,,,,0.38,0.0
22:04:20,87.6,13.5,1009.33,,,,0.38,0.0
22:09:20,87.9,13.5,1009.4,,,,0.35,0.0
22:14:21,87.9,13.5,1009.34,,,,0.38,0.0
22:19:21,87.7,13.4,1009.39,,,,0.39,0.0
22:24:21,88.3,13.4,1009.31,87.15,13.52,1009.36,0.38,0.0
22:29:21,86.8,13.5,1009.36,,,,0.39,0.0
22:34:21,88.9,13.4,1009.37,,,,0.37,0.0
22:39:22,88.5,13.4,1009.25,87.74,13.48,1009.34,0.36,0.0
22:44:22,87.6,13.3,1009.22,,,,0.37,0.0
22:49:22,89.7,13.3,1009.11,,,,0.39,0.0
22:54:22,87.6,13.4,1009.09,,,,0.37,0.0
22:59:22,81.9,13.5,1009.07,87.49,13.41,1009.28,0.39,0.0
23:04:23,84.8,13.5,1009.04,,,,0.37,0.0
23:09:23,86.6,13.4,1009.03,,,,0.39,0.0
23:14:23,88.0,13.3,1009.0,87.04,13.4,1009.15,0.38,0.0
23:19:23,90.0,13.2,1009.1,,,,0.38,0.0
23:24:23,89.9,13.3,1009.03,,,,0.39,0.0
23:29:24,87.8,13.2,1009.06,87.39,13.34,1009.08,0.37,0.0
23:34:24,85.6,13.3,1009.04,,,,0.38,0.0
23:39:24,84.2,13.5,1008.92,,,,0.38,0.0
23:44:24,83.5,13.5,1008.75,,,,0.38,0.0
23:49:24,83.9,13.5,1008.73,86.43,13.37,1009.0,0.38,0.0
23:54:25,78.4,13.8,1008.74,,,,0.39,0.0
23:59:25,79.2,13.6,1008.7,,,,0.37,0.0
