Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa),Napon (V),Brzina vjetra (m/s)
22:20:09,63.7,21.0,1016.32,,,,0.43,0.59
22:25:10,63.3,21.0,1016.37,,,,0.45,1.08
22:30:10,63.5,21.0,1016.36,,,,0.42,0.5
22:35:10,64.0,21.0,1016.49,,,,0.43,0.69
22:40:10,63.2,21.0,1016.47,,,,0.37,0.0
22:45:10,63.1,20.9,1016.56,,,,0.46,1.18
22:50:11,63.8,20.9,1016.46,,,,0.37,0.0
22:55:11,63.0,21.0,1016.56,,,,0.38,0.0
23:00:11,63.3,21.0,1016.56,,,,0.44,0.79
23:05:11,63.4,21.0,1016.59,63.43,20.98,1016.47,0.35,0.0
23:10:11,63.8,21.0,1016.65,,,,0.37,0.0
23:15:12,64.6,20.9,1016.67,,,,0.37,0.0
23:20:12,65.0,20.8,1016.53,63.72,20.95,1016.55,0.44,0.79
23:25:12,65.0,20.8,1016.56,,,,0.38,0.0
23:30:12,63.8,20.9,1016.57,,,,0.42,0.4
23:35:13,64.9,20.9,1016.58,,,,0.49,1.77
23:40:13,64.7,20.9,1016.59,64.15,20.92,1016.57,0.4,0.01
23:45:13,64.7,20.9,1016.76,,,,0.47,1.38
23:50:13,64.9,20.8,1016.66,,,,0.43,0.69
23:55:13,65.0,20.8,1016.5,64.64,20.87,1016.61,0.38,0.0
00:00:14,65.6,20.8,1016.6,,,,0.37,0.0
00:05:14,65.9,20.7,1016.54,,,,0.39,0.0
00:10:14,65.5,20.6,1016.53,65.0,20.81,1016.59,0.39,0.0
00:15:14,65.5,20.5,1016.45,,,,0.32,0.0
00:20:15,65.0,20.6,1016.5,,,,0.43,0.59
00:25:15,64.6,20.7,1016.48,,,,0.37,0.0
00:30:15,65.1,20.6,1016.54,65.18,20.7,1016.56,0.38,0.0
00:35:15,64.1,20.7,1016.32,,,,0.44,0.79
00:40:15,63.5,20.7,1016.32,,,,0.4,0.0
00:45:16,64.1,20.7,1016.46,64.89,20.66,1016.47,0.37,0.0
00:50:16,65.3,20.5,1016.35,,,,0.44,0.79
00:55:16,63.5,20.5,1016.4,,,,0.37,0.0
01:00:16,64.1,20.5,1016.39,64.48,20.6,1016.42,0.38,0.0
01:05:17,64.4,20.5,1016.36,,,,0.37,0.0
01:10:17,64.1,20.4,1016.38,,,,0.5,1.96
01:15:17,62.6,20.6,1016.38,,,,0.42,0.3
01:20:17,63.1,20.7,1016.36,63.88,20.58,1016.39,0.44,0.89
01:25:17,62.9,20.7,1016.3,,,,0.42,0.4
01:30:18,63.4,20.7,1016.36,,,,0.42,0.4
01:35:18,63.0,20.7,1016.28,63.64,20.58,1016.36,0.43,0.59
01:40:18,62.1,20.7,1016.4,,,,0.39,0.0
01:45:18,63.8,20.7,1016.35,,,,0.38,0.0
01:50:19,63.4,20.6,1016.51,63.28,20.63,1016.37,0.37,0.0
01:55:19,63.4,20.5,1016.35,,,,0.44,0.79
02:00:19,61.5,20.6,1016.52,,,,0.44,0.89
02:05:19,60.7,20.7,1016.42,,,,0.54,2.74
02:10:19,59.8,20.8,1016.47,62.4,20.67,1016.38,0.42,0.4
02:15:20,59.0,20.9,1016.48,,,,0.37,0.0
02:20:20,60.4,20.8,1016.44,,,,0.4,0.01
02:25:20,60.4,20.7,1016.39,61.45,20.7,1016.43,0.49,1.86
02:30:20,60.3,20.7,1016.46,,,,0.41,0.11
02:35:21,57.6,20.9,1016.47,,,,0.37,0.0
02:40:21,58.6,20.8,1016.41,60.17,20.74,1016.44,0.43,0.59
02:45:21,59.9,20.6,1016.41,,,,0.53,2.64
