Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa),Napon (V),Brzina vjetra (m/s)
12:42:33,72.4,17.6,1008.04,,,,0.36,0.0
12:47:33,72.5,17.6,1008.1,,,,0.47,1.38
12:52:33,73.5,17.0,1008.13,,,,0.53,2.55
12:57:33,76.1,16.5,1007.97,,,,0.42,0.5
13:02:34,76.8,16.5,1008.13,,,,0.4,0.01
13:07:34,79.2,16.6,1008.04,,,,0.43,0.59
13:12:34,80.9,16.6,1007.98,,,,0.46,1.18
13:17:34,77.6,16.6,1007.89,,,,0.38,0.0
13:22:34,78.5,16.8,1007.94,,,,0.42,0.4
13:27:35,78.0,16.5,1007.9,76.55,16.83,1008.01,0.52,2.45
13:32:35,78.2,16.4,1007.81,,,,0.51,2.25
13:37:35,78.9,16.4,1007.88,,,,0.54,2.74
13:42:35,79.7,16.2,1007.87,78.39,16.51,1007.94,0.45,1.08
13:47:35,80.3,16.1,1007.84,,,,0.43,0.69
13:52:36,82.5,16.1,1007.98,,,,0.55,2.94
13:57:36,80.9,16.3,1007.81,,,,0.47,1.38
14:02:36,79.4,16.3,1007.84,79.4,16.37,1007.89,0.46,1.28
14:07:36,80.9,16.5,1007.77,,,,0.38,0.0
14:12:36,78.5,16.3,1007.81,,,,0.52,2.35
14:17:37,78.0,16.4,1007.75,79.73,16.3,1007.84,0.48,1.57
14:22:37,79.3,16.4,1007.86,,,,0.52,2.35
14:27:37,78.9,16.4,1007.73,,,,0.53,2.64
14:32:37,78.5,16.3,1007.73,79.72,16.31,1007.81,0.58,3.62
14:37:37,78.9,16.3,1007.77,,,,0.46,1.18
14:42:38,80.8,16.5,1007.76,,,,0.43,0.69
14:47:38,78.7,16.5,1007.66,,,,0.45,1.08
14:52:38,80.0,16.4,1007.69,79.25,16.4,1007.77,0.6,3.91
14:57:38,79.1,16.6,1007.61,,,,0.41,0.2
15:02:38,80.8,16.7,1007.56,,,,0.5,1.96
15:07:39,81.8,16.7,1007.58,79.68,16.48,1007.7,0.42,0.5
15:12:39,80.1,16.8,1007.55,,,,0.48,1.57
15:17:39,79.5,16.6,1007.52,,,,0.42,0.5
15:22:39,80.4,16.7,1007.61,80.01,16.58,1007.63,0.52,2.45
15:27:39,80.8,16.5,1007.5,,,,0.49,1.77
15:32:40,81.4,16.3,1007.52,,,,0.42,0.4
15:37:40,81.9,16.4,1007.47,,,,0.46,1.28
15:42:40,80.9,16.2,1007.44,80.67,16.55,1007.56,0.44,0.89
15:47:40,78.5,16.2,1007.38,,,,0.48,1.57
18:44:24,80.0,16.2,1007.44,,,,0.42,0.5
21:10:58,81.0,16.2,1008.01,80.45,16.41,1007.54,0.37,0.0
21:16:09,89.1,15.5,1008.02,,,,0.42,0.3
21:26:50,84.5,15.5,1008.02,,,,0.49,1.86
21:31:54,86.0,15.6,1008.08,82.41,16.06,1007.69,0.42,0.4
21:36:54,84.2,15.5,1007.99,,,,0.37,0.0
21:41:54,86.5,15.5,1007.99,,,,0.46,1.18
21:46:54,85.7,15.5,1008.07,,,,0.46,1.28
21:51:55,84.8,15.5,1007.98,84.03,15.72,1007.84,0.38,0.0
21:56:55,85.4,15.5,1008.08,,,,0.41,0.11
22:02:18,83.8,15.5,1008.12,,,,0.38,0.0
22:07:18,84.8,15.5,1008.06,85.48,15.51,1008.04,0.36,0.0
22:12:18,84.3,15.3,1008.05,,,,0.33,0.0
22:17:19,83.6,15.3,1008.04,,,,0.41,0.11
22:22:19,83.7,15.3,1008.06,84.68,15.44,1008.04,0.38,0.0
22:27:19,84.1,15.3,1008.01,,,,0.41,0.2
22:32:19,84.0,15.3,1007.97,,,,0.37,0.0
22:37:19,83.9,15.3,1008.13,,,,0.38,0.0
22:42:20,84.3,15.3,1008.0,84.19,15.36,1008.05,0.38,0.0
22:47:20,84.0,15.3,1008.02,,,,0.38,0.0
22:52:20,84.0,15.3,1008.08,,,,0.37,0.0
23:16:37,84.0,15.2,1008.01,83.99,15.29,1008.04,0.38,0.0
23:24:11,83.7,15.3,1008.02,,,,0.37,0.0
23:29:12,84.5,15.3,1007.99,,,,0.38,0.0
23:34:42,84.4,15.3,1007.97,84.09,15.29,1008.02,0.41,0.2
23:44:03,85.0,15.3,1007.94,,,,0.38,0.0
