Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa),Napon (V),Brzina vjetra (m/s)
18:52:26,53.3,16.3,1003.88,,,,0.38,0.0
18:57:26,53.0,16.3,1004.02,,,,0.37,0.0
19:02:27,55.7,16.2,1004.08,,,,0.38,0.0
19:07:27,57.1,16.1,1004.17,,,,0.4,0.0
19:12:27,56.8,16.0,1004.09,,,,0.36,0.0
19:17:27,57.6,15.9,1004.24,,,,0.41,0.11
19:22:27,58.5,15.7,1004.29,,,,0.37,0.0
19:27:28,58.8,15.8,1004.32,,,,0.36,0.0
19:32:28,59.5,15.6,1004.43,,,,0.36,0.0
19:37:28,59.1,15.7,1004.4,56.94,15.96,1004.19,0.36,0.0
19:42:28,59.4,15.7,1004.41,,,,0.38,0.0
19:47:28,59.5,15.6,1004.47,,,,0.38,0.0
19:52:29,60.0,15.6,1004.54,58.63,15.77,1004.34,0.36,0.0
19:57:29,60.1,15.6,1004.56,,,,0.38,0.0
20:02:29,59.8,15.7,1004.66,,,,0.4,0.0
20:07:29,59.8,15.6,1004.64,,,,0.36,0.0
20:12:29,59.6,15.6,1004.69,59.56,15.65,1004.47,0.38,0.0
20:17:30,59.7,15.6,1004.68,,,,0.38,0.0
20:22:30,59.1,15.6,1004.74,,,,0.37,0.0
20:27:30,59.5,15.6,1004.79,59.65,15.62,1004.62,0.38,0.0
20:32:30,59.3,15.6,1004.81,,,,0.36,0.0
20:37:30,59.8,15.7,1004.9,,,,0.39,0.0
20:42:31,60.4,15.6,1004.89,59.71,15.62,1004.74,0.36,0.0
20:47:31,60.2,15.4,1004.83,,,,0.37,0.0
20:52:31,59.9,15.3,1004.85,,,,0.37,0.0
20:57:31,61.0,15.3,1004.86,,,,0.36,0.0
21:02:31,61.5,15.3,1004.88,60.04,15.5,1004.8,0.37,0.0
21:07:32,61.3,15.2,1004.97,,,,0.37,0.0
21:12:32,61.3,15.2,1004.9,,,,0.39,0.0
21:17:32,61.3,15.2,1004.89,60.6,15.38,1004.88,0.37,0.0
21:22:32,61.9,15.2,1004.93,,,,0.4,0.01
21:27:32,62.0,15.2,1004.94,,,,0.38,0.0
21:32:33,61.9,15.1,1004.99,61.23,15.24,1004.9,0.38,0.0
21:37:33,61.7,15.1,1004.94,,,,0.39,0.0
21:42:33,62.0,15.1,1005.01,,,,0.4,0.01
21:47:33,61.2,15.1,1004.97,,,,0.4,0.0
21:52:33,61.5,15.1,1004.99,61.61,15.15,1004.94,0.36,0.0
21:57:34,61.1,15.1,1005.02,,,,0.37,0.0
22:02:34,61.4,15.1,1005.11,,,,0.38,0.0
22:07:34,63.0,15.1,1005.1,61.77,15.12,1005.0,0.39,0.0
22:12:34,62.4,15.1,1004.96,,,,0.39,0.0
22:17:34,62.7,15.2,1004.95,,,,0.38,0.0
22:22:35,61.3,15.1,1004.89,61.83,15.11,1004.99,0.38,0.0
22:27:35,61.8,15.1,1004.99,,,,0.38,0.0
22:32:35,63.7,15.1,1004.85,,,,0.37,0.0
22:37:35,61.4,15.1,1004.95,,,,0.38,0.0
22:42:35,62.5,15.2,1004.96,62.13,15.12,1004.98,0.36,0.0
22:47:36,64.3,15.0,1004.92,,,,0.38,0.0
22:52:36,62.8,14.9,1004.97,,,,0.36,0.0
22:57:36,62.8,15.0,1004.98,62.57,15.08,1004.94,0.4,0.0
23:02:36,63.2,14.8,1004.95,,,,0.37,0.0
23:07:36,62.8,14.7,1004.98,,,,0.36,0.0
23:12:37,65.8,14.6,1004.95,63.11,14.95,1004.95,0.36,0.0
23:17:37,66.2,14.3,1004.95,,,,0.37,0.0
23:22:37,66.0,14.5,1004.96,,,,0.37,0.0
23:27:37,67.6,14.5,1004.99,,,,0.38,0.0
23:32:37,68.6,14.1,1005.01,65.01,14.64,1004.96,0.36,0.0
23:37:38,71.4,13.9,1004.97,,,,0.38,0.0
23:42:38,71.9,13.8,1004.98,,,,0.37,0.0
23:47:38,72.9,13.6,1004.95,67.64,14.28,1004.97,0.37,0.0
23:52:38,74.3,13.5,1004.97,,,,0.37,0.0
23:57:38,76.2,13.1,1004.93,,,,0.4,0.0
