Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa),Napon (V),Brzina vjetra (m/s)
14:50:56,79.0,22.5,1011.2,,,,0.46,1.28
14:55:56,78.7,22.5,1011.12,,,,0.42,0.5
15:00:57,79.4,22.2,1011.07,,,,0.39,0.0
15:05:57,79.3,22.1,1011.0,,,,0.37,0.0
15:10:57,79.1,21.9,1010.93,,,,0.37,0.0
15:15:57,77.8,21.9,1010.92,,,,0.42,0.5
15:20:57,77.3,21.9,1010.94,,,,0.37,0.0
15:25:58,77.1,21.7,1010.94,,,,0.38,0.0
15:30:58,77.7,21.8,1010.83,,,,0.42,0.3
15:35:58,76.2,21.8,1010.73,78.16,22.03,1010.97,0.38,0.0
15:40:58,77.6,21.7,1010.82,,,,0.38,0.0
15:45:59,78.3,21.9,1010.74,,,,0.39,0.0
15:50:59,78.0,22.0,1010.69,77.84,21.87,1010.85,0.37,0.0
15:55:59,78.2,22.3,1010.61,,,,0.37,0.0
16:00:59,77.1,22.6,1010.65,,,,0.37,0.0
16:06:00,74.9,22.4,1010.62,,,,0.38,0.0
16:11:00,76.3,22.3,1010.58,77.14,22.05,1010.76,0.4,0.01
16:16:00,77.2,22.3,1010.67,,,,0.34,0.0
16:21:00,76.2,22.3,1010.59,,,,0.37,0.0
16:26:00,75.6,22.2,1010.46,76.94,22.2,1010.64,0.38,0.0
16:31:01,77.9,22.6,1010.41,,,,0.38,0.0
16:36:01,74.1,22.7,1010.37,,,,0.37,0.0
16:41:01,75.3,22.9,1010.28,76.28,22.46,1010.52,0.37,0.0
16:46:01,74.6,23.0,1010.31,,,,0.38,0.0
16:51:02,75.6,23.0,1010.19,,,,0.34,0.0
16:56:02,73.9,23.0,1010.13,,,,0.36,0.0
17:01:02,75.3,22.9,1010.07,75.57,22.69,1010.4,0.38,0.0
17:06:02,74.3,22.8,1010.12,,,,0.37,0.0
17:11:03,75.6,22.8,1010.07,,,,0.38,0.0
17:16:03,74.6,22.7,1010.0,75.12,22.84,1010.19,0.4,0.01
17:21:03,75.1,22.7,1009.99,,,,0.39,0.0
17:26:03,76.3,22.7,1009.96,,,,0.37,0.0
17:31:04,75.3,22.7,1009.91,75.06,22.83,1010.08,0.38,0.0
17:36:04,73.7,22.6,1009.94,,,,0.37,0.0
17:41:04,74.2,22.5,1009.95,,,,0.38,0.0
17:46:04,74.6,22.4,1010.0,,,,0.39,0.0
17:51:04,74.8,22.3,1009.98,74.85,22.62,1010.0,0.37,0.0
17:56:05,75.4,22.2,1009.97,,,,0.37,0.0
