Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa),Napon (V),Brzina vjetra (m/s)
19:20:45,69.5,23.0,1005.39,,,,0.38,0.0
19:25:45,70.4,23.0,1005.35,,,,0.4,0.01
19:30:46,68.9,23.1,1005.25,,,,0.38,0.0
19:35:46,68.3,23.1,1005.3,,,,0.4,0.0
19:40:46,67.9,23.1,1005.27,,,,0.37,0.0
20:17:38,67.8,23.1,1005.29,,,,0.38,0.0
20:41:51,67.1,23.1,1005.1,,,,0.42,0.4
00:12:46,68.5,23.2,1005.06,,,,0.39,0.0
01:37:08,69.2,23.2,1004.54,,,,0.37,0.0
01:48:59,73.2,22.9,1004.5,69.08,23.08,1005.1,0.38,0.0
02:19:28,73.0,22.8,1004.42,,,,0.39,0.0
02:24:29,72.6,22.9,1004.39,,,,0.38,0.0
02:29:29,72.7,22.9,1004.44,70.03,23.03,1004.83,0.37,0.0
02:34:29,73.0,22.9,1004.37,,,,0.46,1.18
02:39:29,73.2,22.9,1004.19,,,,0.44,0.89
02:44:30,73.0,23.0,1004.29,,,,0.45,0.98
02:49:30,73.2,22.9,1004.25,72.16,22.96,1004.53,0.38,0.0
02:54:30,73.4,22.9,1004.31,,,,0.37,0.0
02:59:30,73.7,22.9,1004.23,,,,0.38,0.0
03:04:31,73.8,22.9,1004.11,73.16,22.9,1004.3,0.38,0.0
03:09:31,74.0,22.9,1004.06,,,,0.38,0.0
03:14:31,74.2,22.8,1004.0,,,,0.36,0.0
03:19:31,74.4,22.8,1003.9,73.59,22.89,1004.17,0.38,0.0
03:24:31,74.7,22.8,1003.85,,,,0.38,0.0
03:29:32,74.8,22.7,1003.98,,,,0.37,0.0
03:34:32,74.8,22.7,1003.92,,,,0.39,0.0
03:39:32,74.9,22.7,1003.83,74.27,22.81,1004.06,0.39,0.0
03:44:32,74.5,22.8,1003.46,,,,0.44,0.79
03:49:33,73.9,22.8,1003.73,,,,0.37,0.0
03:54:33,74.0,22.9,1003.7,74.42,22.79,1003.84,0.43,0.59
03:59:33,73.7,22.9,1003.32,,,,0.38,0.0
04:04:33,73.5,23.0,1003.19,,,,0.39,0.0
04:09:33,72.9,23.0,1003.4,74.17,22.83,1003.64,0.43,0.69
04:14:34,72.7,23.1,1003.28,,,,0.43,0.59
04:27:53,72.8,23.1,1003.35,,,,0.42,0.5
04:32:53,72.6,23.1,1003.32,,,,0.38,0.0
04:37:53,72.9,23.1,1003.26,73.35,22.98,1003.46,0.39,0.0
04:42:53,73.1,23.0,1003.32,,,,0.37,0.0
04:47:53,72.9,23.0,1003.32,,,,0.38,0.0
04:52:54,73.2,22.9,1003.27,73.03,23.02,1003.3,0.43,0.69
04:57:54,72.8,22.9,1003.48,,,,0.42,0.3
05:02:54,72.8,22.9,1003.53,,,,0.4,0.01
05:07:54,72.9,22.9,1003.65,72.87,23.0,1003.38,0.4,0.01
05:12:55,72.5,22.9,1003.59,,,,0.36,0.0
05:17:55,72.2,22.9,1003.63,,,,0.41,0.11
05:22:55,72.0,22.9,1003.62,,,,0.42,0.5
05:27:55,71.9,22.9,1003.53,72.63,22.92,1003.47,0.37,0.0
05:32:56,72.6,22.9,1003.52,,,,0.38,0.0
05:37:56,72.7,22.9,1003.5,,,,0.38,0.0
05:42:56,72.3,22.9,1003.57,72.47,22.9,1003.56,0.39,0.0
05:47:56,71.3,22.9,1003.56,,,,0.36,0.0
05:52:56,71.1,22.9,1003.74,,,,0.38,0.0
05:57:57,71.1,23.0,1003.84,71.97,22.91,1003.61,0.43,0.59
06:02:57,70.3,23.0,1003.92,,,,0.4,0.01
06:07:57,71.0,23.0,1003.9,,,,0.41,0.2
06:12:57,71.3,23.0,1003.92,,,,0.4,0.01
06:17:58,71.7,22.9,1003.96,71.54,22.94,1003.7,0.37,0.0
06:22:58,71.6,22.9,1003.86,,,,0.38,0.0
06:27:58,71.3,22.9,1003.8,,,,0.39,0.0
06:32:58,71.1,22.9,1003.83,71.18,22.94,1003.83,0.38,0.0
06:37:59,70.8,23.0,1003.77,,,,0.45,0.98
06:42:59,70.5,23.0,1003.68,,,,0.44,0.89
06:47:59,70.5,23.0,1003.79,71.01,22.96,1003.84,0.42,0.4
06:52:59,69.6,23.0,1003.89,,,,0.38,0.0
06:57:59,69.9,23.0,1003.91,,,,0.38,0.0
07:03:00,69.6,23.1,1003.98,,,,0.4,0.01
07:08:00,69.8,23.1,1004.03,70.47,22.99,1003.85,0.38,0.0
07:13:00,70.0,23.1,1004.02,,,,0.44,0.79
07:18:00,70.3,23.1,1004.03,,,,0.35,0.0
07:23:01,70.6,23.1,1004.07,70.16,23.05,1003.92,0.38,0.0
07:28:01,71.1,23.1,1004.24,,,,0.37,0.0
07:33:01,71.7,23.1,1004.09,,,,0.38,0.0
07:38:01,72.4,23.0,1004.15,70.5,23.07,1004.04,0.42,0.4
