Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa),Napon (V),Brzina vjetra (m/s)
20:14:36,48.8,29.8,1010.19,,,,0.39,0.0
20:19:37,48.9,29.7,1010.19,,,,0.38,0.0
20:24:37,48.8,29.7,1010.29,,,,0.39,0.0
20:29:37,51.6,29.5,1010.34,,,,0.38,0.0
20:34:37,51.1,29.4,1010.34,,,,0.38,0.0
20:39:38,50.3,29.3,1010.36,,,,0.38,0.0
20:44:38,51.0,29.3,1010.4,,,,0.38,0.0
20:49:38,50.5,29.3,1010.4,,,,0.37,0.0
20:54:38,50.8,29.3,1010.47,,,,0.39,0.0
20:59:39,53.1,28.7,1010.46,50.49,29.4,1010.34,0.39,0.0
21:04:39,53.5,28.7,1010.48,,,,0.38,0.0
21:09:39,52.3,28.9,1010.5,,,,0.42,0.3
21:14:39,52.4,29.1,1010.56,51.66,29.15,1010.43,0.4,0.0
21:19:40,53.5,29.1,1010.58,,,,0.39,0.0
21:24:40,53.3,29.0,1010.68,,,,0.39,0.0
21:29:40,53.0,28.9,1010.73,,,,0.39,0.0
21:34:40,53.4,28.6,1010.73,52.58,28.96,1010.53,0.4,0.0
21:39:41,54.4,28.3,1010.75,,,,0.4,0.0
21:44:41,54.4,27.9,1010.8,,,,0.38,0.0
21:49:41,55.0,27.7,1010.75,53.52,28.62,1010.66,0.39,0.0
21:54:41,55.0,27.6,1010.77,,,,0.42,0.4
21:59:42,55.8,27.4,1010.88,,,,0.43,0.59
22:04:42,56.2,27.3,1010.9,54.4,28.18,1010.76,0.39,0.0
22:09:42,56.3,27.3,1010.95,,,,0.42,0.4
22:14:42,56.4,27.2,1010.88,,,,0.43,0.59
22:19:43,57.0,27.0,1010.95,,,,0.42,0.4
22:24:43,57.2,26.9,1010.97,55.77,27.46,1010.84,0.38,0.0
22:29:43,57.2,26.9,1010.91,,,,0.42,0.5
22:34:43,57.4,27.0,1010.85,,,,0.39,0.0
22:39:44,57.3,26.8,1010.92,56.58,27.14,1010.9,0.38,0.0
22:44:44,57.7,26.7,1010.91,,,,0.37,0.0
22:49:44,57.8,26.6,1010.94,,,,0.39,0.0
22:54:44,57.8,26.5,1011.0,57.21,26.89,1010.93,0.4,0.01
22:59:45,57.2,26.8,1011.0,,,,0.4,0.0
23:04:45,55.6,27.0,1011.02,,,,0.39,0.0
23:09:45,54.4,27.6,1011.05,,,,0.38,0.0
23:14:45,53.9,27.5,1011.06,56.63,26.94,1010.96,0.4,0.0
23:19:46,53.8,27.7,1011.04,,,,0.39,0.0
23:24:46,52.4,28.1,1011.02,,,,0.4,0.0
23:29:46,52.4,28.0,1011.0,55.3,27.25,1011.0,0.4,0.0
23:34:46,52.2,28.1,1011.02,,,,0.39,0.0
23:39:47,53.6,27.5,1011.03,,,,0.4,0.0
23:44:47,55.2,27.2,1011.13,54.07,27.55,1011.04,0.41,0.11
23:49:47,55.4,27.1,1011.07,,,,0.38,0.0
23:54:47,55.8,26.9,1011.08,,,,0.42,0.3
23:59:48,56.1,26.7,1011.12,,,,0.42,0.4
