Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa),Napon (V),Brzina vjetra (m/s)
13:50:48,60.1,29.0,1005.81,,,,0.37,0.0
13:55:49,60.3,29.0,1005.95,,,,0.39,0.0
14:00:49,61.3,28.6,1005.86,,,,0.38,0.0
14:05:49,62.9,28.4,1005.8,,,,0.37,0.0
14:10:49,63.2,28.1,1005.84,,,,0.38,0.0
14:15:50,64.8,27.9,1005.75,,,,0.38,0.0
14:20:50,65.2,27.7,1005.69,,,,0.37,0.0
14:25:50,68.8,27.6,1005.68,,,,0.42,0.3
14:30:50,77.9,26.2,1005.86,,,,0.34,0.0
14:35:51,83.6,25.4,1005.92,66.81,27.79,1005.82,0.38,0.0
14:40:51,83.8,25.2,1005.8,,,,0.38,0.0
14:45:51,83.3,25.8,1005.73,,,,0.37,0.0
14:50:51,82.6,26.2,1005.69,73.61,26.85,1005.78,0.37,0.0
14:55:52,81.7,26.3,1005.68,,,,0.38,0.0
15:00:52,81.2,26.3,1005.52,,,,0.39,0.0
15:05:52,80.6,26.2,1005.37,,,,0.37,0.0
15:10:52,80.2,26.1,1005.11,80.37,26.13,1005.69,0.37,0.0
15:15:53,77.2,26.1,1005.11,,,,0.39,0.0
15:20:53,78.2,26.0,1005.22,,,,0.38,0.0
15:25:53,76.3,26.0,1005.41,80.51,26.02,1005.46,0.37,0.0
15:30:53,76.3,25.8,1005.32,,,,0.38,0.0
15:35:54,77.4,25.5,1005.26,,,,0.39,0.0
15:40:54,77.9,25.3,1005.35,78.7,25.96,1005.34,0.37,0.0
15:45:54,78.5,25.6,1005.3,,,,0.38,0.0
15:50:54,78.9,25.5,1005.25,,,,0.36,0.0
15:55:55,78.9,25.8,1005.0,,,,0.36,0.0
16:00:55,80.5,25.9,1004.66,78.01,25.75,1005.23,0.38,0.0
16:05:55,81.8,25.9,1004.66,,,,0.38,0.0
16:10:55,80.9,25.6,1004.82,,,,0.37,0.0
16:15:56,81.7,25.6,1004.77,79.28,25.65,1005.04,0.36,0.0
16:20:56,83.0,25.6,1004.57,,,,0.36,0.0
16:25:56,78.6,25.5,1004.56,,,,0.38,0.0
16:30:56,82.5,25.4,1004.71,80.53,25.64,1004.83,0.39,0.0
16:35:57,83.3,25.3,1004.89,,,,0.38,0.0
16:40:57,82.3,25.2,1005.05,,,,0.38,0.0
16:45:57,82.9,25.1,1005.21,,,,0.36,0.0
16:50:57,84.5,25.0,1005.3,82.15,25.42,1004.79,0.39,0.0
16:55:58,85.4,24.9,1005.29,,,,0.37,0.0
17:00:58,85.0,24.7,1005.2,,,,0.37,0.0
17:05:58,85.8,24.5,1005.24,83.33,25.12,1005.0,0.38,0.0
17:10:58,87.0,24.3,1005.22,,,,0.37,0.0
17:15:59,88.1,24.3,1005.2,,,,0.36,0.0
17:20:59,90.4,24.0,1004.97,85.47,24.73,1005.16,0.38,0.0
17:25:59,90.8,23.8,1004.89,,,,0.39,0.0
17:30:59,90.4,23.9,1004.68,,,,0.36,0.0
17:35:59,90.5,24.2,1004.87,,,,0.37,0.0
17:41:00,86.8,25.8,1004.87,88.02,24.44,1005.09,0.35,0.0
17:46:00,75.8,28.4,1004.89,,,,0.37,0.0
17:51:00,71.3,28.7,1005.06,,,,0.38,0.0
17:56:01,70.0,29.9,1004.87,84.11,25.73,1004.95,0.38,0.0
18:01:01,61.4,30.5,1004.71,,,,0.38,0.0
18:06:01,66.5,27.9,1004.78,,,,0.38,0.0
18:11:01,67.5,27.6,1004.68,77.1,27.07,1004.83,0.36,0.0
18:16:02,64.6,27.7,1004.65,,,,0.39,0.0
18:21:02,67.8,27.7,1004.58,,,,0.39,0.0
