Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa),Napon (V),Brzina vjetra (m/s)
22:04:36,80.3,19.2,1003.1,,,,0.39,0.0
22:09:37,80.4,19.3,1003.17,,,,0.38,0.0
22:14:37,77.3,19.8,1003.17,,,,0.37,0.0
22:19:37,77.3,19.7,1003.15,,,,0.38,0.0
22:24:37,77.4,20.0,1003.17,,,,0.37,0.0
22:29:38,78.3,19.7,1003.07,,,,0.38,0.0
22:34:38,75.8,19.7,1002.99,,,,0.38,0.0
22:39:38,77.3,19.6,1002.9,,,,0.36,0.0
22:44:38,76.4,19.9,1002.89,,,,0.38,0.0
22:49:38,76.4,19.6,1002.97,77.69,19.65,1003.06,0.38,0.0
22:54:39,77.9,19.3,1003.05,,,,0.39,0.0
22:59:39,77.4,19.6,1003.04,,,,0.39,0.0
23:04:39,76.2,20.1,1002.99,77.04,19.72,1003.02,0.38,0.0
23:09:39,73.8,20.5,1002.97,,,,0.37,0.0
23:14:40,74.5,20.5,1002.95,,,,0.38,0.0
23:19:40,73.8,20.8,1002.88,,,,0.38,0.0
23:24:40,74.0,20.5,1002.81,75.77,20.04,1002.96,0.38,0.0
23:29:40,73.3,20.4,1002.76,,,,0.38,0.0
23:34:40,75.1,20.3,1002.79,,,,0.37,0.0
23:39:41,73.7,20.2,1002.78,74.97,20.22,1002.9,0.37,0.0
23:44:41,76.2,20.0,1002.76,,,,0.38,0.0
23:49:41,74.8,20.3,1002.79,,,,0.4,0.01
23:54:41,75.0,20.3,1002.79,74.42,20.38,1002.83,0.41,0.11
23:59:42,75.3,20.0,1002.75,,,,0.37,0.0
00:04:42,77.0,20.1,1002.72,,,,0.38,0.0
00:09:42,76.1,20.1,1002.66,,,,0.38,0.0
00:14:42,76.4,20.1,1002.59,75.29,20.18,1002.76,0.37,0.0
00:19:42,76.9,20.1,1002.54,,,,0.36,0.0
00:24:43,76.5,20.2,1002.42,,,,0.4,0.01
00:29:43,76.7,20.0,1002.44,76.09,20.12,1002.65,0.36,0.0
00:34:43,77.5,20.1,1002.43,,,,0.36,0.0
00:39:43,76.4,20.3,1002.36,,,,0.37,0.0
00:44:44,76.8,20.3,1002.31,76.56,20.13,1002.52,0.39,0.0
00:49:44,76.2,20.3,1002.2,,,,0.37,0.0
00:54:44,75.7,20.7,1002.24,,,,0.37,0.0
00:59:44,77.9,19.9,1002.21,,,,0.38,0.0
01:04:44,79.3,19.9,1002.29,76.99,20.18,1002.37,0.37,0.0
01:09:45,78.5,19.7,1002.31,,,,0.37,0.0
01:14:45,78.6,19.8,1002.31,,,,0.36,0.0
01:19:45,77.7,20.4,1002.25,77.46,20.14,1002.29,0.33,0.0
01:24:45,76.1,20.1,1002.27,,,,0.4,0.0
01:29:46,77.4,20.4,1002.23,,,,0.36,0.0
01:34:46,76.0,20.7,1002.22,77.34,20.19,1002.25,0.34,0.0
01:39:46,78.4,20.2,1002.15,,,,0.38,0.0
01:44:46,78.6,20.2,1002.13,,,,0.4,0.01
01:49:46,78.1,20.2,1001.91,,,,0.37,0.0
01:54:47,78.6,20.4,1001.61,77.8,20.21,1002.21,0.37,0.0
01:59:47,75.4,20.8,1001.47,,,,0.36,0.0
02:04:47,77.7,20.1,1001.26,,,,0.37,0.0
02:09:47,78.0,20.0,1001.14,77.43,20.31,1001.84,0.37,0.0
02:14:48,77.9,20.2,1000.92,,,,0.37,0.0
02:19:48,78.2,20.1,1000.94,,,,0.37,0.0
02:24:48,78.4,20.2,1000.89,77.93,20.24,1001.44,0.37,0.0
02:29:48,78.4,20.3,1000.79,,,,0.37,0.0
02:34:49,78.1,20.4,1000.66,,,,0.37,0.0
02:39:49,78.0,20.5,1000.53,,,,0.37,0.0
02:44:49,76.5,20.7,1000.41,77.66,20.33,1001.02,0.36,0.0
02:49:49,72.5,20.9,1000.35,,,,0.38,0.0
02:54:49,70.2,21.1,1000.34,,,,0.37,0.0
02:59:50,68.5,21.4,1000.38,75.67,20.58,1000.62,0.37,0.0
03:04:50,66.9,21.7,1000.25,,,,0.39,0.0
03:09:50,66.3,21.8,1000.36,,,,0.38,0.0
03:14:50,65.3,22.2,1000.38,72.07,21.1,1000.44,0.43,0.69
03:19:51,64.9,22.3,1000.12,,,,0.42,0.5
03:24:51,64.0,22.5,1000.04,,,,0.41,0.2
03:29:51,63.1,22.7,999.82,,,,0.42,0.5
03:34:51,62.6,22.9,999.89,66.43,21.95,1000.24,0.43,0.59
03:39:51,64.6,22.6,999.98,,,,0.4,0.01
03:44:52,63.7,22.6,999.99,,,,0.37,0.0
03:49:52,66.3,22.4,1000.19,64.77,22.37,1000.1,0.39,0.0
03:54:52,66.5,22.3,1000.31,,,,0.37,0.0
03:59:52,65.4,22.3,1000.35,,,,0.42,0.4
04:04:53,64.4,22.6,1000.35,64.55,22.52,1000.1,0.38,0.0
04:09:53,65.3,22.5,1000.22,,,,0.42,0.4
04:14:53,64.0,22.5,1000.14,,,,0.38,0.0
04:19:53,64.4,22.6,1000.02,,,,0.4,0.01
04:24:54,64.2,22.6,1000.04,64.88,22.5,1000.14,0.46,1.18
04:29:54,70.1,22.2,1000.1,,,,0.37,0.0
04:34:54,74.5,21.6,1000.1,,,,0.33,0.0
04:39:54,73.5,21.4,1000.05,67.23,22.26,1000.17,0.42,0.5
04:44:54,73.0,21.4,1000.26,,,,0.37,0.0
04:49:55,73.6,21.5,1000.26,,,,0.4,0.01
04:54:55,73.5,21.5,1000.37,69.61,21.98,1000.16,0.37,0.0
04:59:55,72.5,21.6,1000.36,,,,0.38,0.0
05:04:55,71.0,21.5,1000.43,,,,0.42,0.4
05:09:56,72.1,21.5,1000.38,,,,0.42,0.4
05:14:56,73.1,21.5,1000.35,72.69,21.57,1000.23,0.37,0.0
05:19:56,72.9,21.5,1000.47,,,,0.42,0.3
05:24:56,72.4,21.4,1000.69,,,,0.47,1.47
05:29:56,71.8,21.4,1000.68,72.59,21.48,1000.43,0.44,0.89
05:34:57,72.7,21.2,1000.7,,,,0.45,0.98
05:39:57,74.5,20.9,1000.68,,,,0.43,0.59
05:44:57,76.0,20.9,1000.64,72.9,21.34,1000.54,0.41,0.2
05:49:57,77.2,20.9,1000.55,,,,0.37,0.0
05:54:58,76.5,21.1,1000.51,,,,0.4,0.0
05:59:58,76.2,21.1,1000.53,,,,0.41,0.2
06:04:58,75.4,21.1,1000.5,74.56,21.15,1000.58,0.41,0.2
06:09:58,75.1,21.1,1000.53,,,,0.38,0.0
06:14:58,74.9,21.3,1000.57,,,,0.38,0.0
06:19:59,74.5,21.2,1000.55,75.3,21.08,1000.58,0.37,0.0
06:24:59,74.2,21.3,1000.51,,,,0.37,0.0
06:29:59,73.7,21.3,1000.57,,,,0.4,0.01
06:34:59,74.4,21.2,1000.6,75.21,21.16,1000.54,0.38,0.0
06:40:00,74.6,21.3,1000.62,,,,0.38,0.0
06:45:00,74.5,21.4,1000.58,,,,0.38,0.0
06:50:00,73.5,21.5,1000.59,,,,0.37,0.0
06:55:00,73.5,21.5,1000.52,74.29,21.31,1000.56,0.41,0.2
07:00:00,73.0,21.6,1000.42,,,,0.37,0.0
07:05:01,72.7,21.8,1000.37,,,,0.39,0.0
07:10:01,72.4,21.9,1000.35,73.65,21.48,1000.51,0.41,0.2
07:15:01,72.5,22.0,1000.42,,,,0.37,0.0
07:20:01,72.5,22.0,1000.4,,,,0.38,0.0
07:25:02,72.7,22.1,1000.3,73.19,21.71,1000.46,0.37,0.0
07:30:02,73.0,22.2,1000.29,,,,0.39,0.0
07:35:02,73.2,22.3,1000.26,,,,0.39,0.0
07:40:02,73.0,22.3,1000.33,,,,0.38,0.0
07:45:03,73.5,22.3,1000.34,72.85,22.05,1000.37,0.38,0.0
07:50:03,73.9,22.3,1000.6,,,,0.4,0.0
07:55:03,75.0,22.2,1000.59,,,,0.39,0.0
08:00:03,75.7,22.2,1000.71,73.5,22.19,1000.42,0.38,0.0
08:05:03,76.4,22.2,1000.64,,,,0.43,0.69
08:10:04,75.7,22.3,1000.78,,,,0.42,0.5
08:15:04,75.7,22.3,1000.77,74.51,22.26,1000.53,0.37,0.0
08:20:04,75.7,22.3,1000.65,,,,0.38,0.0
08:25:04,76.5,22.2,1000.53,,,,0.37,0.0
08:30:05,76.8,22.2,1000.47,,,,0.37,0.0
08:35:05,77.7,22.1,1000.6,75.91,22.23,1000.61,0.37,0.0
08:40:05,77.5,22.1,1000.65,,,,0.4,0.0
08:45:05,76.9,22.1,1000.67,,,,0.37,0.0
08:50:06,77.5,22.1,1000.66,76.64,22.19,1000.64,0.42,0.5
08:55:06,77.0,22.2,1000.61,,,,0.38,0.0
09:00:06,76.0,22.4,1000.66,,,,0.48,1.57
09:05:06,75.1,22.6,1000.55,76.67,22.23,1000.6,0.4,0.01
09:10:07,75.3,22.6,1000.74,,,,0.42,0.5
09:15:07,74.9,22.6,1000.64,,,,0.41,0.2
09:20:07,75.2,22.6,1000.94,,,,0.38,0.0
09:25:07,75.3,22.6,1000.68,76.07,22.39,1000.67,0.45,0.98
09:30:07,74.8,22.8,1000.73,,,,0.38,0.0
09:35:08,74.4,22.9,1000.68,,,,0.4,0.01
09:40:08,74.3,22.9,1000.75,75.23,22.62,1000.7,0.37,0.0
09:45:08,73.9,22.9,1000.75,,,,0.38,0.0
09:50:08,73.6,22.8,1000.69,,,,0.38,0.0
09:55:09,74.0,22.9,1001.53,74.57,22.76,1000.81,0.38,0.0
10:00:09,72.8,23.1,1000.87,,,,0.38,0.0
10:05:09,67.6,23.9,1001.29,,,,0.43,0.69
10:10:09,67.6,24.1,1000.74,,,,0.4,0.0
10:15:10,65.6,24.5,1000.46,71.86,23.28,1000.87,0.4,0.01
10:20:10,67.5,24.0,1000.44,,,,0.37,0.0
10:25:10,71.0,23.6,1000.58,,,,0.42,0.4
10:30:10,71.0,23.5,1000.81,70.46,23.53,1000.82,0.43,0.59
10:35:11,67.0,24.3,1000.75,,,,0.39,0.0
10:40:11,66.6,24.6,1000.54,,,,0.42,0.3
10:45:11,64.9,25.0,1000.45,68.16,24.06,1000.69,0.39,0.0
10:50:11,66.0,24.9,1000.37,,,,0.38,0.0
10:55:11,66.7,24.5,1000.41,,,,0.42,0.3
11:00:12,67.9,24.3,1000.35,,,,0.38,0.0
11:05:12,70.4,23.8,1000.33,67.9,24.25,1000.52,0.38,0.0
11:10:12,73.2,23.5,1000.25,,,,0.39,0.0
11:15:12,77.0,23.0,1000.07,,,,0.36,0.0
11:20:13,77.8,22.9,1000.08,69.75,24.08,1000.36,0.42,0.4
11:25:13,79.2,22.7,1000.33,,,,0.37,0.0
11:30:13,79.1,23.2,1000.25,,,,0.42,0.3
11:35:13,76.7,23.9,1000.33,73.4,23.67,1000.28,0.42,0.3
11:40:14,74.1,24.5,1000.33,,,,0.37,0.0
11:45:14,71.9,25.0,1000.29,,,,0.36,0.0
11:50:14,73.1,24.7,1000.18,,,,0.39,0.0
11:55:14,73.3,24.7,1000.15,75.54,23.81,1000.24,0.37,0.0
12:00:15,75.5,24.2,1000.29,,,,0.38,0.0
