Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa),Napon (V),Brzina vjetra (m/s)
14:46:07,60.8,21.2,1010.96,,,,0.39,0.0
14:51:07,60.7,21.3,1010.91,,,,0.38,0.0
14:56:08,59.9,21.3,1010.83,,,,0.39,0.0
15:01:08,60.5,21.4,1010.84,,,,0.39,0.0
15:06:08,61.3,20.8,1010.76,,,,0.39,0.0
15:11:08,60.8,20.5,1010.82,,,,0.39,0.0
15:16:08,60.0,20.6,1010.74,,,,0.37,0.0
15:21:09,58.9,20.7,1010.71,,,,0.39,0.0
15:26:09,60.0,20.6,1010.74,,,,0.37,0.0
15:31:09,59.9,20.8,1010.69,60.28,20.92,1010.8,0.4,0.01
15:36:09,60.9,20.7,1010.59,,,,0.39,0.0
15:41:09,61.8,21.0,1010.53,,,,0.39,0.0
15:46:09,59.6,20.9,1010.49,60.37,20.8,1010.69,0.38,0.0
15:51:10,59.5,20.7,1010.53,,,,0.38,0.0
15:56:10,60.3,20.7,1010.51,,,,0.36,0.0
16:01:10,60.8,20.7,1010.45,,,,0.41,0.11
16:06:10,60.3,20.6,1010.48,60.2,20.74,1010.6,0.38,0.0
16:11:10,59.3,20.7,1010.41,,,,0.38,0.0
16:16:11,59.2,20.8,1010.33,,,,0.39,0.0
16:21:11,60.1,20.8,1010.42,60.18,20.76,1010.47,0.38,0.0
16:26:11,60.0,20.8,1010.46,,,,0.38,0.0
16:31:11,60.8,20.8,1010.46,,,,0.39,0.0
16:36:11,61.2,20.9,1010.43,60.15,20.75,1010.45,0.36,0.0
16:41:12,63.7,20.9,1010.38,,,,0.39,0.0
16:46:12,65.4,20.9,1010.32,,,,0.42,0.3
16:51:12,65.6,20.9,1010.28,,,,0.4,0.01
16:56:12,66.4,20.9,1010.22,62.17,20.84,1010.4,0.38,0.0
17:01:13,66.9,20.9,1010.22,,,,0.4,0.0
17:06:13,67.0,20.8,1010.18,,,,0.37,0.0
17:11:13,67.7,20.8,1010.23,64.47,20.86,1010.32,0.38,0.0
17:16:13,67.7,20.7,1010.18,,,,0.4,0.0
17:21:13,67.5,20.6,1010.08,,,,0.38,0.0
17:26:14,67.4,20.5,1010.07,66.53,20.79,1010.22,0.39,0.0
17:31:14,68.4,20.4,1010.17,,,,0.37,0.0
17:36:14,68.7,20.2,1010.2,,,,0.39,0.0
17:41:14,70.2,20.2,1010.09,,,,0.38,0.0
17:46:15,70.2,20.2,1010.09,68.17,20.53,1010.16,0.4,0.0
17:51:15,69.3,20.1,1010.0,,,,0.39,0.0
17:56:15,70.6,20.1,1009.97,,,,0.42,0.5
