Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa),Napon (V),Brzina vjetra (m/s)
10:04:27,55.2,23.8,1005.97,,,,0.38,0.0
10:09:27,55.1,23.8,1006.35,,,,0.38,0.0
10:14:28,54.0,24.4,1006.18,,,,0.37,0.0
10:19:28,52.5,25.3,1005.72,,,,0.37,0.0
10:24:28,51.5,25.6,1006.03,,,,0.37,0.0
10:29:28,51.7,26.2,1005.79,,,,0.39,0.0
10:34:28,49.8,26.2,1005.7,,,,0.38,0.0
10:39:29,50.4,26.1,1005.71,,,,0.48,1.57
10:44:29,50.2,25.9,1005.62,,,,0.43,0.59
10:49:29,49.7,26.0,1005.76,52.01,25.33,1005.88,0.42,0.4
10:54:29,50.2,25.9,1005.75,,,,0.43,0.59
10:59:30,49.6,26.5,1005.72,,,,0.37,0.0
11:04:30,49.6,26.3,1005.89,50.52,26.0,1005.77,0.37,0.0
11:09:30,49.2,26.2,1005.6,,,,0.37,0.0
11:14:30,48.4,26.7,1005.59,,,,0.4,0.0
11:19:31,46.3,26.7,1005.66,,,,0.41,0.2
11:24:31,47.3,26.9,1005.55,49.09,26.32,1005.7,0.36,0.0
11:29:31,48.0,26.8,1005.53,,,,0.37,0.0
11:34:31,46.5,26.7,1005.55,,,,0.41,0.2
11:39:32,47.0,26.7,1005.65,48.21,26.54,1005.65,0.41,0.11
11:44:32,46.5,27.0,1005.6,,,,0.38,0.0
11:49:32,46.9,27.5,1005.49,,,,0.41,0.11
11:54:32,46.7,27.6,1005.51,47.28,26.88,1005.57,0.39,0.0
11:59:33,45.9,27.2,1005.48,,,,0.38,0.0
12:04:33,47.1,27.0,1005.52,,,,0.36,0.0
12:09:33,46.0,26.8,1005.44,,,,0.4,0.01
12:14:33,46.8,26.6,1005.37,46.74,26.99,1005.53,0.38,0.0
12:19:34,46.6,26.5,1005.42,,,,0.37,0.0
12:24:34,48.0,26.5,1005.43,,,,0.35,0.0
12:29:34,48.1,26.6,1005.38,46.86,26.93,1005.46,0.39,0.0
12:34:34,47.7,26.5,1005.39,,,,0.36,0.0
12:39:35,48.0,26.4,1005.39,,,,0.37,0.0
12:44:35,48.4,26.4,1005.31,47.26,26.65,1005.41,0.37,0.0
12:49:35,48.0,26.8,1005.23,,,,0.38,0.0
12:54:35,47.3,26.9,1005.14,,,,0.36,0.0
12:59:35,48.0,26.8,1005.1,,,,0.43,0.59
13:04:36,47.3,26.7,1005.01,47.74,26.61,1005.32,0.4,0.0
13:09:36,50.4,26.4,1004.91,,,,0.38,0.0
13:14:36,50.5,26.4,1004.82,,,,0.38,0.0
13:19:36,47.8,26.3,1004.72,48.34,26.56,1005.1,0.38,0.0
13:24:37,48.6,26.4,1004.61,,,,0.37,0.0
13:29:37,48.6,26.1,1004.58,,,,0.36,0.0
13:34:37,49.7,26.2,1004.55,48.62,26.5,1004.87,0.39,0.0
13:39:37,47.6,26.2,1004.49,,,,0.38,0.0
13:44:38,48.3,26.2,1004.43,,,,0.41,0.11
